"","STOP_FRISK_DOM","STOP_FRISK_TIME_MINUTES","MONTH2","DAY2","STOP_WAS_INITIATED","ISSUING_OFFICER_RANK","SUPERVISING_OFFICER_RANK","JURISDICTION_DESCRIPTION","OBSERVED_DURATION_MINUTES","SUSPECTED_CRIME_DESCRIPTION","STOP_DURATION_MINUTES","OFFICER_EXPLAINED_STOP_FLAG","OTHER_PERSON_STOPPED_FLAG","OFFICER_IN_UNIFORM_FLAG","ID_CARD_IDENTIFIES_OFFICER_FLAG","SHIELD_IDENTIFIES_OFFICER_FLAG","VERBAL_IDENTIFIES_OFFICER_FLAG","FRISKED_FLAG","SEARCHED_FLAG","OTHER_CONTRABAND_FLAG","FIREARM_FLAG","KNIFE_CUTTER_FLAG","OTHER_WEAPON_FLAG","WEAPON_FOUND_FLAG","PHYSICAL_FORCE_CEW_FLAG","PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG","PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG","PHYSICAL_FORCE_OC_SPRAY_USED_FLAG","PHYSICAL_FORCE_OTHER_FLAG","PHYSICAL_FORCE_RESTRAINT_USED_FLAG","PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG","PHYSICAL_FORCE_WEAPON_IMPACT_FLAG","BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG","BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG","SUSPECTS_ACTIONS_CASING_FLAG","SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG","SUSPECTS_ACTIONS_DECRIPTION_FLAG","SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG","SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG","SUSPECTS_ACTIONS_LOOKOUT_FLAG","SUSPECTS_ACTIONS_OTHER_FLAG","SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG","SEARCH_BASIS_ADMISSION_FLAG","SEARCH_BASIS_CONSENT_FLAG","SEARCH_BASIS_HARD_OBJECT_FLAG","SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG","SEARCH_BASIS_OTHER_FLAG","SEARCH_BASIS_OUTLINE_FLAG","DEMEANOR_OF_PERSON_STOPPED","SUSPECT_REPORTED_AGE","SUSPECT_SEX","SUSPECT_RACE_DESCRIPTION","SUSPECT_HEIGHT","SUSPECT_WEIGHT","SUSPECT_BODY_BUILD_TYPE","SUSPECT_EYE_COLOR","SUSPECT_HAIR_COLOR","STOP_LOCATION_PRECINCT","SUSPECT_ARRESTED_FLAG"
"31",10,1050,"February","Friday","Based_on_Self_Initiated","POM","SSA","Housing",1,"CRIMINAL_POSSESSION_OF_MARIHUANA",10,"Y","N","Y","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","N","N","N","CRIMINAL POSSESSION OF MARIHUANA",28,"MALE","WHITE_HISPANIC",5.7,170,"MED","BRO","BLK",23,"Y"
"32",25,620,"July","Tuesday","Based_on_Self_Initiated","POM","SSA","Housing",2,"CRIMINAL_TRESPASS",2,"Y","N","Y","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","CRIMINAL TRESPASS",34,"MALE","BLACK",6.1,180,"MED","BRO","BLK",23,"Y"
"33",6,41,"September","Wednesday","Based_on_Self_Initiated","POM","SGT","Housing",1,"CPW",2,"Y","N","N","N","S","V","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","UNCOOPERATIVE AT FIRST THEN COOPERATIVE",19,"MALE","WHITE_HISPANIC",6.1,180,"THN","BRO","BRO",23,"N"
"34",23,460,"October","Monday","Based_on_C_W_on_Scene","POM","SGT","PSB",2,"MENACING",5,"Y","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","MENACING",51,"MALE","BLACK",6.1,230,"HEA","BRO","BLK",23,"Y"
"35",10,850,"November","Friday","Based_on_Self_Initiated","POM","SGT","Housing",1,"CRIMINAL_SALE_OF_CONTROLLED_SUBSTANCE",15,"Y","Y","Y","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","CRIMINAL SALE OF CONTROLLED SUBSTANCE",54,"MALE","BLACK_HISPANIC",5.1,135,"THN","BRO","WHI",23,"N"
"36",26,1211,"February","Sunday","Based_on_Self_Initiated","POM","SGT","Housing",1,"CRIMINAL_TRESPASS",1,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","NERVOUS",15,"FEMALE","BLACK",5.6,120,"THN","BLK","BLK",25,"N"
"37",15,1360,"March","Wednesday","Based_on_Self_Initiated","POM","SSA","Housing",2,"CRIMINAL_TRESPASS",10,"Y","N","N","N","S","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","CRIMINAL TRESPASS",18,"MALE","BLACK",5.6,155,"THN","BRO","BLK",25,"Y"
"38",27,1069,"March","Monday","Based_on_Self_Initiated","POM","SGT","Housing",1,"CPW",2,"Y","N","N","N","S","V","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","NERVOUS BUT COOPERATIVE",18,"MALE","BLACK",5.8,155,"THN","BRO","BLK",25,"N"
"39",13,1095,"April","Thursday","Based_on_Self_Initiated","POF","LT","Housing",0,"CPW",2,"Y","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","CPW",17,"MALE","BLACK_HISPANIC",5.7,140,"THN","BRO","BLK",25,"N"
"40",25,905,"April","Tuesday","Based_on_Self_Initiated","POF","SGT","Housing",1,"CRIMINAL_TRESPASS",4,"Y","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","CRIMINAL TRESPASS",28,"FEMALE","BLACK",5.4,150,"MED","BRO","BLK",25,"Y"
