"","STOP_FRISK_DOM","STOP_FRISK_TIME_MINUTES","MONTH2","DAY2","STOP_WAS_INITIATED","ISSUING_OFFICER_RANK","SUPERVISING_OFFICER_RANK","JURISDICTION_DESCRIPTION","OBSERVED_DURATION_MINUTES","SUSPECTED_CRIME_DESCRIPTION","STOP_DURATION_MINUTES","OFFICER_EXPLAINED_STOP_FLAG","OTHER_PERSON_STOPPED_FLAG","OFFICER_IN_UNIFORM_FLAG","ID_CARD_IDENTIFIES_OFFICER_FLAG","SHIELD_IDENTIFIES_OFFICER_FLAG","VERBAL_IDENTIFIES_OFFICER_FLAG","FRISKED_FLAG","SEARCHED_FLAG","OTHER_CONTRABAND_FLAG","FIREARM_FLAG","KNIFE_CUTTER_FLAG","OTHER_WEAPON_FLAG","WEAPON_FOUND_FLAG","PHYSICAL_FORCE_CEW_FLAG","PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG","PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG","PHYSICAL_FORCE_OC_SPRAY_USED_FLAG","PHYSICAL_FORCE_OTHER_FLAG","PHYSICAL_FORCE_RESTRAINT_USED_FLAG","PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG","PHYSICAL_FORCE_WEAPON_IMPACT_FLAG","BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG","BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG","SUSPECTS_ACTIONS_CASING_FLAG","SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG","SUSPECTS_ACTIONS_DECRIPTION_FLAG","SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG","SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG","SUSPECTS_ACTIONS_LOOKOUT_FLAG","SUSPECTS_ACTIONS_OTHER_FLAG","SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG","SEARCH_BASIS_ADMISSION_FLAG","SEARCH_BASIS_CONSENT_FLAG","SEARCH_BASIS_HARD_OBJECT_FLAG","SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG","SEARCH_BASIS_OTHER_FLAG","SEARCH_BASIS_OUTLINE_FLAG","DEMEANOR_OF_PERSON_STOPPED","SUSPECT_REPORTED_AGE","SUSPECT_SEX","SUSPECT_RACE_DESCRIPTION","SUSPECT_HEIGHT","SUSPECT_WEIGHT","SUSPECT_BODY_BUILD_TYPE","SUSPECT_EYE_COLOR","SUSPECT_HAIR_COLOR","STOP_LOCATION_PRECINCT","SUSPECT_ARRESTED_FLAG"
"4895",6,181,"December","Tuesday","Based_on_Radio_Run","POF","SGT","PSB",6,"ROBBERY",8,"Y","N","Y","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","N","N","N","N","ROBBERY",44,"MALE","BLACK",5.6,150,"MED","BRO","BLK",48,"N"
"4896",6,175,"December","Tuesday","Based_on_Radio_Run","POM","SGT","PSB",1,"ROBBERY",5,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","ROBBERY",37,"MALE","BLACK",5.9,180,"MED","BLK","BLK",48,"N"
"4897",6,32,"December","Saturday","Based_on_Radio_Run","POM","SGT","PSB",2,"CPW",2,"Y","N","N","N","S","V","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","Y","N","N","N","N","Y","N","N","N","N","N","N","CPW",20,"MALE","BLACK",5.1,190,"THN","BRO","BLK",48,"N"
"4898",6,40,"December","Saturday","Based_on_Radio_Run","POM","SGT","PSB",2,"CPW",5,"Y","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N","CPW",21,"MALE","WHITE_HISPANIC",5.7,120,"THN","BRO","BLK",48,"N"
"4899",6,1142,"December","Saturday","Based_on_Radio_Run","POM","SGT","PSB",1,"CPW",5,"Y","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","N","N","Y","N","N","N","N","NERVOUS",12,"MALE","BLACK",4.11,115,"THN","BRO","BLK",48,"N"
"4900",6,788,"November","Wednesday","Based_on_C_W_on_Scene","POM","SGT","Transit",10,"CPW",5,"Y","Y","Y","N","N","N","Y","Y","N","Y","N","N","Y","N","Y","N","N","N","N","Y","N","N","N","N","Y","Y","N","N","N","N","Y","N","N","Y","Y","N","N","CPW",15,"MALE","BLACK_HISPANIC",5.7,120,"THN","BRO","BRO",48,"Y"
"4901",6,31,"December","Sunday","Based_on_Radio_Run","POM","SGT","PSB",1,"ROBBERY",10,"Y","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","ROBBERY",20,"MALE","BLACK",5.9,180,"MED","BRO","BLK",48,"N"
"4902",6,31,"December","Sunday","Based_on_Radio_Run","POM","SGT","PSB",1,"ROBBERY",10,"Y","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","UNKNOWN",16,"MALE","BLACK_HISPANIC",5.5,140,"XXX","BRO","BLK",48,"N"
"4903",6,10,"December","Sunday","Based_on_Self_Initiated","POM","SGT","PSB",1,"CPW",10,"Y","Y","N","N","S","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","CPW",16,"MALE","BLACK",5.5,150,"THN","BRO","BLK",48,"N"
"4904",6,10,"December","Sunday","Based_on_Self_Initiated","POM","SGT","PSB",1,"CPW",10,"Y","Y","N","N","S","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","CPW",16,"MALE","BLACK",5.1,170,"THN","BRO","BLK",48,"N"
